instance,recent_max,z_score,historical_mean,historical_std
instance-c928762c-4303-416a-80b0-50f4305b97ef,23.93,3.46,22.03,0.55
instance-d4ec9a33-e4b1-453d-8285-1413e567efcc,7.45,3.46,6.93,0.15
instance-ee862ca2-97b1-4a61-83da-1f119ab43652,11.6,3.46,8.6,0.87
instance-f18c12a3-e819-4322-a983-853c9df67e78,10.4,3.46,9.42,0.28
instance-f28b5fab-4a08-4588-ac9d-1e45a6f27068,12.17,3.46,4.98,2.08
instance-f3f2276f-8eb1-4df1-b9e6-2760ff890543,2.0,3.46,0.97,0.3
instance-f40d186c-fbe4-46c5-b69d-3d398dcf6666,1.41,3.46,1.2,0.06
instance-f493662a-afcb-4b00-b4a0-02c1624f1971,2.46,3.46,2.16,0.09
instance-0a501dbb-6a52-4ee0-9d0d-f206252664c6,10.46,3.45,7.8,0.77
instance-14fc4873-6a3d-430e-a153-0302122341a7,0.88,3.45,0.74,0.04
instance-1c1c82f7-f83d-4476-bf8c-b05ca83d6cba,4.48,3.45,3.45,0.3
instance-1e1bae05-8dd8-4ad2-8350-022ad092e037,4.24,3.45,3.28,0.28
instance-45af1711-4988-4b77-95c5-629f07c11760,22.6,3.45,20.6,0.58
instance-4fe3ab21-36c5-4096-9f96-5fa9a3913cb0,4.78,3.45,2.57,0.64
instance-55fc4df6-028d-4456-b3ab-eeb00de20e7e,1.81,3.45,1.45,0.11
instance-57d06356-9cb9-4a34-9be6-b393478c5512,18.75,3.45,4.67,4.08
instance-61426328-92dd-4410-a598-107bea09c387,12.67,3.45,8.66,1.16
instance-6a80bb1b-8a25-4cb3-9366-2408e28a58d8,18.3,3.45,16.78,0.44
instance-6c2c32c4-5494-47b2-afe6-a217f6e3bd5d,0.66,3.45,0.53,0.04
instance-844c0d77-6fc8-46c9-b6b4-4cba233a69e3,5.4,3.45,3.19,0.64
instance-9574422d-2748-44ee-99b1-2d13f5ff1e05,5.24,3.45,3.53,0.5
instance-a93f300f-51a1-486e-9a18-da7d22465514,3.43,3.45,2.45,0.29
instance-b9384cd3-b52e-4722-b403-5da5ac9db59d,1.25,3.45,0.92,0.1
instance-c46f4e7c-f5c7-4b0d-8dec-ec0b83b87a97,9.15,3.45,8.62,0.15
instance-cc3e5e18-1520-4764-a734-f71f0f0c00fd,11.45,3.45,10.94,0.15
instance-cdf8dcb7-4f8e-4713-8ca9-bf499e9e449f,9.89,3.45,6.15,1.08
instance-d5d88baa-3cda-4d7a-80a6-b454a3cdd8e8,3.91,3.45,2.8,0.32
instance-dcb8b44e-2882-4902-b734-9a38f2821f20,31.96,3.45,28.18,1.1
instance-ee8b6f71-7106-4a42-b86a-166354dbf7d3,10.94,3.45,9.57,0.4
instance-f767d7b9-b678-4a3a-b811-b71a99789379,5.32,3.45,4.45,0.25
instance-fc4034c7-212e-4cf9-b67d-16cf50fe6f01,9.87,3.45,7.93,0.56
instance-03686409-7350-4ba0-8bef-fb8f54252eea,4.35,3.44,3.77,0.17
instance-070dc012-d89e-477e-93f2-73d9186e7cc2,3.66,3.44,2.58,0.31
instance-0cbc40b2-1fc0-454d-9c98-1f636d40ef99,17.08,3.44,15.78,0.38
instance-0dfe85d4-11c5-41f6-8dd2-3b4d0041b04b,1.98,3.44,1.67,0.09
instance-1c079ae4-9abf-49f2-bade-4e78c0cd669d,0.31,3.44,0.23,0.02
instance-1e12a8ba-0d70-4182-9cf6-535be9782284,17.99,3.44,16.18,0.53
instance-35b055e7-3d5b-4948-a973-3d465db5acdf,7.26,3.44,4.97,0.67
instance-3e3f4a0e-3893-4716-8026-be2215e2de25,12.14,3.44,10.41,0.5
instance-4677197c-fe23-4061-9c2a-816ac61527b5,28.88,3.44,20.23,2.52
instance-563b5d0e-fa4c-49a4-a662-698cda8469d5,13.6,3.44,11.02,0.75
instance-7851dc3d-30ee-4f6e-8caf-712b263d444f,17.42,3.44,15.91,0.44
instance-78ca6313-2ce5-40f4-9c41-fceee7320661,10.59,3.44,7.85,0.8
instance-b8767a26-bb38-465f-b9c3-1da9a03955fe,5.08,3.44,3.5,0.46
instance-b896a2b0-06c3-4ff0-b0e1-b40152622c5d,2.55,3.44,2.18,0.11
instance-bb712a23-5208-4716-8bcc-6fc3bd87a018,13.45,3.44,11.76,0.49
instance-d1fce814-2a40-41a3-8075-bef1cbdefc02,19.9,3.44,16.52,0.98
instance-df68b325-a159-4125-bf0b-8bebd8d885d4,3.71,3.44,1.04,0.78
instance-f2567ae8-5dc6-4264-80fd-86905257e227,8.55,3.44,7.95,0.17
instance-006252d3-96f1-4cd1-8306-aaba5dfb7f03,1.81,3.43,1.34,0.14
instance-00f43296-d5a4-4dce-8853-dc8becd89b89,10.57,3.43,6.73,1.12
instance-0b831e23-18dc-46e0-85f6-7b9a28578047,3.71,3.43,2.91,0.23
instance-0d3ca9bf-7ee6-4650-adc4-e47efcd596d6,1.23,3.43,1.11,0.04
instance-14638d02-05b3-4873-8f6e-07dd8b039e41,8.62,3.43,3.72,1.43
instance-1c284903-859a-487c-a95b-1a374751d569,3.04,3.43,2.83,0.06
instance-1ec93ea8-bbd0-4941-b533-7fafcaef6c8e,7.6,3.43,7.1,0.15
instance-208aee45-fe37-401f-963b-fae878420604,15.42,3.43,14.75,0.2
instance-2c6d4786-b26a-4b62-a0d3-6ae54b80066f,4.03,3.43,2.68,0.39
instance-35255a37-e0dc-469f-a2ba-2ce4725a72e1,3.41,3.43,2.38,0.3
instance-42bf3fd8-b519-416b-a40d-fc7a5eb3c109,7.6,3.43,4.14,1.01
instance-469b4f6b-20fe-4874-adff-56fbe6fea566,4.25,3.43,2.97,0.37
instance-4bfd6d13-3576-46df-a06c-5522d4ce256a,1.97,3.43,1.54,0.12
instance-5f54486c-cf27-4471-b201-6f9a26dcbe72,3.02,3.43,2.62,0.12
instance-677d55da-540b-42cd-8fdc-68b02a2f3d29,14.89,3.43,9.34,1.62
instance-6ae7045c-968a-431a-a83f-33e3a4771ff7,8.46,3.43,6.86,0.47
instance-78511065-f501-4c0f-a665-42286a863f4a,2.03,3.43,1.47,0.16
instance-7adebd25-543c-432c-8fe3-fda6a6608d50,29.25,3.43,17.82,3.33
instance-7cc7505d-ac41-4026-8667-bca2249e8cbe,9.1,3.43,8.59,0.15
instance-8108b04b-2013-41ff-bd8b-a69a0250954f,0.58,3.43,0.54,0.01
instance-89c177af-7174-4786-acf7-cc697f8dd7ae,2.26,3.43,1.56,0.2
instance-9510a0dd-191d-484b-9889-36dd72e38d92,17.69,3.43,13.91,1.1
instance-9fc2da03-403a-4514-9f21-9c3b95b27210,7.77,3.43,6.83,0.27
instance-bc137320-c606-43a1-ab5d-4d63876f5691,18.75,3.43,15.45,0.96
instance-c5304480-b127-4c07-b68e-1f77119cd251,2.72,3.43,1.79,0.27
instance-e21671a4-a2d3-4dc5-95e8-9975e1c4b1f8,3.56,3.43,2.46,0.32
instance-ee95efc4-647d-4251-9ff8-ee8be8023930,1.48,3.43,1.26,0.06
instance-f451e7fb-9fa6-400a-9160-a1ecc4dc07b2,3.28,3.43,2.39,0.26
instance-f50b175c-f2b2-4cc4-96fb-25dbd0231172,5.6,3.43,2.84,0.8
instance-095eed6b-93b0-4eaa-b0db-8944776d2dab,0.74,3.42,0.71,0.01
instance-2196297e-b983-4cab-905f-2822425de50e,0.77,3.42,0.62,0.04
instance-21994d74-dcec-467b-93ec-00fd815d3af4,17.12,3.42,15.55,0.46
instance-410feba2-a687-481d-bfdb-81d199ab0922,2.71,3.42,1.78,0.27
instance-4204b8df-d03f-4c11-bda1-d174a83dc09a,20.42,3.42,12.76,2.24
instance-57dc778f-8008-4db7-8d7e-d966d83fb81a,1.29,3.42,1.05,0.07
instance-584c2392-0e0e-4fa8-9566-12deb439f43a,3.71,3.42,3.33,0.11
instance-5e74c1e2-b53f-4061-8bfb-83905f5c7bfb,20.65,3.42,13.8,2.0
instance-6835128e-d34e-4548-a1e5-2755480c033d,51.54,3.42,45.21,1.85
instance-6a2f0400-fa6b-4bd2-8fbd-4b51b327628b,3.61,3.42,2.68,0.27
instance-78c9beef-eee7-4d93-97b8-760e86d632af,18.19,3.42,9.96,2.41
instance-7b86746a-11b6-4f23-a32b-34f9d9d44736,4.76,3.42,3.75,0.29
instance-844bb6d4-3958-40ed-9d51-e903e484eb62,7.67,3.42,2.73,1.44
instance-86b65018-6761-4d77-be22-511acd8b8cf5,2.78,3.42,2.3,0.14
instance-908cf6af-03e9-42bc-b84c-f007c8dde922,5.03,3.42,4.03,0.29
instance-9091d12c-a863-4e95-9d6b-a05a7c96922e,3.38,3.42,2.52,0.25
instance-a0343885-4204-4735-8665-6b79efa082b1,0.97,3.42,0.71,0.08
instance-a61688f5-1b65-4094-b2c1-6d7f70f72261,19.82,3.42,16.29,1.03
instance-b500c55d-9304-4a2d-b051-d99d63300a70,18.67,3.42,8.84,2.88
instance-b73927e0-4daf-41b2-adf3-a3b02f943ab4,3.84,3.42,3.01,0.24
instance-be66882e-1a3b-4cca-90a5-2a17d03a7835,3.56,3.42,2.57,0.29
instance-c2146888-5e9a-44cf-880f-10c5aa111087,17.02,3.42,15.91,0.33
instance-d9e07184-5ee4-453a-9c01-87f54a828c7e,12.68,3.42,6.55,1.79
instance-db28b5ec-2950-4295-b204-01748250e465,1.97,3.42,1.59,0.11
instance-f0d2e0a0-ed30-445b-81a0-2dc744a730b5,4.49,3.42,3.85,0.19
instance-fd123d51-01e5-43e2-b07c-152f3e3b6e24,18.46,3.42,16.24,0.65
instance-ffffe71d-07d4-4dc6-9f64-b4edd89bdb20,10.45,3.42,8.83,0.47
instance-013fcbeb-a97a-408e-a0d8-cae77af3cc41,9.42,3.41,2.47,2.04
instance-092cde15-1adb-4016-80ae-6bd261577a69,20.55,3.41,10.07,3.08
instance-0faa3b28-f980-48c3-95f8-a5d8e3e065ae,11.92,3.41,7.57,1.28
instance-219011e5-1031-4b6a-af64-c11b14ebd054,72.57,3.41,40.08,9.53
instance-222973b9-3fc6-47b6-be76-6f0842bcfde7,14.65,3.41,5.41,2.71
instance-25ec5305-5a26-471a-a6ae-278b44126272,3.07,3.41,2.82,0.07
instance-3a70003b-73be-46e8-896d-5055e1d29fc1,1.26,3.41,1.01,0.07
instance-47e09450-62dc-4dd2-bf32-1136939038c6,16.35,3.41,13.94,0.71
instance-48876895-9a30-45cd-b8b7-2fd813056411,16.13,3.41,2.37,4.03
instance-4a33921c-9bb8-4ba2-8797-f65d324aa5a9,2.92,3.41,2.53,0.11
instance-4b3a3600-4b99-4ac3-9aa2-49968ffa9d6d,3.7,3.41,1.2,0.73
instance-5efbbc55-79de-4e56-92bb-a0f178a23f73,18.39,3.41,16.67,0.51
instance-7a223e6e-7a17-4ba9-be39-5aca6093f6d4,0.43,3.41,0.33,0.03
instance-814dffc4-756d-4410-9359-6e2e5b5a1f67,1.01,3.41,0.89,0.04
instance-8aa477f2-00d1-4c38-88fa-09451fe07a54,11.44,3.41,11.04,0.12
instance-9e38a38e-a995-41f5-9a4d-de2231f3a50d,4.42,3.41,3.77,0.19
instance-a73cc872-01e4-4cf3-aa3d-4c7f09a4e4fa,6.19,3.41,1.94,1.25
instance-abc5b095-65ca-4cc6-8f9c-ca6e35e41f68,4.34,3.41,2.72,0.48
instance-cac55e8e-36a5-4fa4-87e6-86cc1b46cf48,3.14,3.41,2.39,0.22
instance-cc70f114-3d67-4868-b3ad-948c1ff1cce1,2.17,3.41,1.89,0.08
instance-ceb2e2b0-415d-45e0-9fe0-0586efb9c8fb,3.18,3.41,2.45,0.21
instance-cef25def-c5a6-492a-b73e-2cf916f0b0cf,1.39,3.41,1.16,0.07
instance-d87027d4-c323-4d38-a918-d64b9a614141,43.73,3.41,8.65,10.29
instance-e8b4b1ad-0a50-42ac-89ab-26634716deec,0.94,3.41,0.85,0.03
instance-eaa12d53-914c-405b-99d1-3e570b7be6da,1.03,3.41,0.95,0.02
instance-f3b3346a-bf28-4d55-b279-ff049539e353,2.02,3.41,1.09,0.27
instance-fd391443-af9b-4a44-96e1-fb9e48f959d7,15.84,3.41,14.31,0.45
instance-0abb48be-724d-4425-b962-fd4c1a000734,5.88,3.4,4.55,0.39
instance-1e9506bb-6dea-4e94-a7c0-a9f56e1d84b2,31.79,3.4,25.77,1.77
instance-1eb12fe8-7844-4365-adee-69ecd2ec4156,6.2,3.4,2.17,1.19
instance-209fe02d-9cfc-49b0-aea8-edf4a41163c4,1.22,3.4,1.1,0.03
instance-23053fdb-1401-42d9-8287-e08530ebd912,3.76,3.4,3.43,0.1
instance-2efc15de-4e94-4373-9a9e-dd59a88024ea,9.79,3.4,5.94,1.13
instance-32704712-0062-4161-86eb-ea75be603cd8,5.08,3.4,3.89,0.35
instance-389777b6-ba39-4ced-ba21-e53a182646e2,6.7,3.4,6.19,0.15
instance-4ac0e76f-2579-4719-8fe6-cb2b0767fd72,16.2,3.4,7.2,2.65
instance-6b9787bf-fdae-4b16-b33c-382540809acb,15.26,3.4,14.05,0.36
instance-6c77b5d0-312a-446f-92a7-490147760a8a,15.29,3.4,14.05,0.36
instance-782e22ce-cb44-4db3-994b-aa8ee5d5a586,60.45,3.4,8.79,15.19
instance-88bf1d64-46fb-447e-bbea-e6350d608dc1,8.47,3.4,4.6,1.14
instance-89e7fd8f-9a64-4771-937d-1fa9f5df5a87,19.84,3.4,18.0,0.54
instance-9136c2b5-2db8-480b-8f45-7d25dcdb8bbf,2.67,3.4,2.3,0.11
instance-9773bb17-9cbe-4a2f-bd27-8a1d96cc48db,38.27,3.4,10.42,8.19
instance-a20bf149-5400-4c79-a63e-9db51c904c8c,8.85,3.4,6.68,0.64
instance-b0048088-5220-4688-8be3-414bd545a58f,1.19,3.4,1.0,0.05
instance-b1ea0e47-2a01-4049-9ded-827e2ecab62a,1.86,3.4,1.38,0.14
instance-b3618004-d694-4dd7-93e8-92dc68c9105c,4.82,3.4,2.83,0.59
instance-b38afdc6-1a0a-425d-8d53-7ea92c5218e4,1.09,3.4,0.95,0.04
instance-b5dc0cc9-ae48-4b64-98e3-3a0a8793dc45,3.7,3.4,2.64,0.31
instance-b9ebec35-3507-4550-b890-871f5da235da,5.83,3.4,5.07,0.22
instance-c4d48e7b-e52b-4de1-8189-105ea91c2353,21.04,3.4,10.92,2.97
instance-c676e8e5-2278-4574-8b7e-e0e7ae2b49be,7.54,3.4,2.55,1.47
instance-d2e685a6-d50e-45af-be93-1710edb2e5a1,23.64,3.4,11.27,3.64
instance-d84b8e51-cca8-49f9-be10-34a2c0e92721,12.24,3.4,7.14,1.5
instance-dcbd1b70-bf93-49c2-a0ff-9fcdc3871e7f,2.69,3.4,2.35,0.1
instance-e0930e12-364d-4d16-ad14-a7ddf9445404,5.38,3.4,4.21,0.34
instance-e9e0b0c1-d5ba-48b2-946a-bec5f64d857f,4.33,3.4,3.84,0.14
instance-f007d410-3da4-4200-9c92-789fa3a010bc,2.93,3.4,2.02,0.27
instance-f42b9b3d-e1d8-4497-ae9d-50b65f80afce,1.4,3.4,1.17,0.07
instance-faadde15-a970-49be-b344-a2d01581d0e5,4.07,3.4,3.07,0.29
instance-03f55bec-0694-40eb-a2fe-bff2796da51d,19.45,3.39,16.87,0.76
instance-0a34aa49-db26-47d6-a6ca-a90da401c6ca,3.18,3.39,2.33,0.25
instance-131b33b0-fe49-475b-adf0-fa36953199fd,0.77,3.39,0.36,0.12
instance-2bef3825-b2f6-481d-9d1f-43a9e1799936,5.38,3.39,3.96,0.42
instance-30ce7e7e-abc4-4f58-bf6a-4f3c31790d01,4.63,3.39,3.59,0.31
instance-32228ec8-f55e-49eb-aab6-4ccd452b0c9d,0.74,3.39,0.65,0.03
instance-3f394446-242d-4d67-9cee-015f7dea2434,3.17,3.39,2.55,0.18
instance-46ff46ff-582c-42ae-965a-27a292277074,17.89,3.39,14.44,1.02
instance-5137590b-d7f9-407d-8b1d-f37dbebc62b3,12.69,3.39,11.41,0.38
instance-536ebe77-f4bd-4f9e-a115-2e3ed916edf3,28.15,3.39,10.2,5.3
instance-668ef52b-ad9b-4e56-864b-e39e9a775807,3.85,3.39,2.78,0.32
instance-6dbb6d6d-239c-4427-ac47-1111b84b7477,26.0,3.39,10.89,4.46
instance-85d1bde0-33af-4b6b-89bd-a3c518322bd1,3.29,3.39,2.59,0.21
instance-85e61165-2243-4b41-90f9-2971ea145ed6,4.6,3.39,1.72,0.85
instance-8e98cae4-3c6d-4dc3-83da-15d83fba1ff9,5.82,3.39,3.68,0.63
instance-99a3cec5-49b2-41bb-8be4-6f4e57764111,4.1,3.39,2.97,0.33
instance-a2b52fd1-c7c4-4bdb-9289-c62ac02388de,19.03,3.39,17.72,0.39
instance-a6b09b4e-dcfc-4810-ac3d-b1e6b718013e,3.89,3.39,3.02,0.26
instance-af188ac7-dcdc-4186-91f7-29ae4a6a2c49,10.1,3.39,4.58,1.63
instance-b6c8f9d1-f53b-4297-a2e8-4747f08a64c8,4.2,3.39,3.23,0.29
instance-c0d4072e-d06c-4faa-a3cb-ba37397aec7d,2.97,3.39,2.38,0.17
instance-d75a814f-775a-45ab-8727-aaa8b28170e7,4.17,3.39,2.96,0.36
instance-dca8c5af-b2c5-4830-a353-6e125339e35c,4.13,3.39,3.21,0.27
instance-dcc62ffc-9402-4ed1-9068-b89f78c6b81a,3.99,3.39,2.92,0.32
instance-f28668b4-8aa5-4cf1-9e05-b322c5442f28,10.73,3.39,2.94,2.3
instance-f2d1f062-6df4-4fd9-b76d-0d0de4f7f41a,3.31,3.39,2.48,0.24
instance-15577912-8cc9-4edd-899f-2b63dc237bb6,11.9,3.38,9.98,0.57
instance-16bf0023-1c0e-41bd-ba49-0038373c52e0,12.51,3.38,5.19,2.16
instance-18a1c16e-7d5c-482a-928a-55d66261936b,3.92,3.38,3.0,0.27
instance-1c9ea7e9-8c74-4dd6-b46f-80f75b870052,2.15,3.38,1.82,0.1
instance-20844258-50cd-4705-a73e-c77b26c06b8b,8.03,3.38,6.98,0.31
instance-279c72f0-8917-4d9d-a471-b7280cd5b9dc,40.71,3.38,37.83,0.85
instance-2d3b82a2-2025-42e2-bb79-4b2bceb3aebb,9.06,3.38,8.13,0.27
instance-39f4cf2b-b552-45ab-b0ec-d177c91fb421,1.87,3.38,1.51,0.11
instance-3bb62857-f792-441a-bfd8-a152b31bc123,5.86,3.38,4.72,0.34
instance-47d4f928-bb0f-4c99-8720-f80e9de34a29,11.52,3.38,5.13,1.89
instance-4c621e11-beae-417e-9ca1-e79a6950ead5,5.13,3.38,4.23,0.27
instance-516ec902-335c-4514-a25c-d85141869312,76.52,3.38,11.95,19.12
instance-52eae073-564a-46d3-8375-0701c71e45d6,6.65,3.38,5.79,0.26
instance-63cfeb0e-dbb6-4521-b239-de01eba20062,3.47,3.38,2.53,0.28
instance-69fc90f9-d157-42ca-8c9c-9c34a945e5de,1.72,3.38,1.47,0.07
instance-6dfc4958-0ebd-4956-bb3f-6549b4e44718,10.18,3.38,8.01,0.64
instance-9573fc36-18e2-4b75-a445-f212ee431ae8,17.42,3.38,15.87,0.46
instance-b603329b-4436-4bb7-bd6f-18aec9237a6c,4.77,3.38,3.75,0.3
instance-b99b1f51-2c64-4c4c-b99f-2baab7e1b6d6,1.1,3.38,0.96,0.04
instance-c66619c4-a905-474f-b9f9-4e3a819f19df,0.88,3.38,0.85,0.01
instance-cb02c3f1-dc93-4a7b-a2b4-6d0dda3705de,20.66,3.38,11.31,2.77
instance-d67637fe-fabe-4bee-ae8a-4f9b6d0996b8,4.27,3.38,3.15,0.33
instance-d87dee63-866c-44ec-a776-23ed91d8a891,1.11,3.38,0.95,0.05
instance-d9681086-ad41-422d-890f-42f32247e89e,3.03,3.38,2.38,0.19
instance-f67a8d42-17b4-4c80-b1e0-0d47b790daa9,1.07,3.38,0.97,0.03
instance-f740d79d-25bf-4d63-b288-5b8354f1e02c,13.25,3.38,5.36,2.33
instance-01916146-1a1a-4c94-ad87-c4b0945cd59e,3.56,3.37,3.17,0.11
instance-19b60c97-0b37-4a29-b4b1-1ea207880d7d,4.59,3.37,3.87,0.21
instance-4a9ea05e-22c1-474b-b6aa-91d6a16c8ef8,17.36,3.37,15.88,0.44
instance-4b742f2c-8b48-42fa-9de5-2e440fa9af1e,2.98,3.37,2.54,0.13
instance-4c9b90cb-91ca-412f-83d1-1ca269ebb3c7,10.63,3.37,8.05,0.76
instance-5a182d31-e2da-42a1-8b5c-2ff2981fe587,4.07,3.37,2.83,0.37
instance-6b70b653-9f7c-4bb5-9b6b-ae35830ce842,8.47,3.37,7.99,0.14
instance-774d5443-4053-4cc2-8b93-355bd285fd11,13.05,3.37,11.55,0.44
instance-7f67727c-d1a6-42bc-ada7-3aaeba2ed274,4.19,3.37,2.78,0.42
instance-8e637f91-3c4a-47c0-b106-d9d289e8f0ec,14.86,3.37,13.83,0.31
instance-b3556a69-d0c4-4ecd-b51d-6f6d8f347626,4.3,3.37,4.0,0.09
instance-b5f0ad86-5352-4476-b86c-9c6846460b01,13.11,3.37,5.32,2.31
instance-c901a615-42f7-4b20-9ae9-c2683d0f1dcc,14.19,3.37,11.79,0.71
instance-d12ef0ee-f9e9-4f24-a099-3f72de702e08,29.21,3.37,13.81,4.57
instance-d5d9d19c-f6e1-4715-8bbf-00508f082330,2.11,3.37,1.88,0.07
instance-dfcbddbd-27e1-4459-91f5-c6644a37b9d2,11.23,3.37,4.54,1.99
instance-e164c73e-a749-4831-8de4-3ee7e64226a0,17.57,3.37,15.88,0.5
instance-e333cf38-673f-4dd2-9d2e-21753a3dc472,1.54,3.37,1.46,0.02
instance-e5244ddd-ba12-43e4-a329-4485bcb92664,8.7,3.37,8.19,0.15
instance-fde99e73-df92-45a5-87a9-c4ac57e1006c,3.8,3.37,2.87,0.28
instance-039c980b-4e68-433d-91fa-75902e8d4823,17.99,3.36,12.89,1.52
instance-09687dc4-02ed-4ced-8429-f573242cc423,1.37,3.36,1.16,0.06
instance-1204756e-d1b8-4385-b089-91c5e29058f3,3.97,3.36,3.08,0.27
instance-17cc44a9-c4f2-4499-bc96-e16071e364c1,10.08,3.36,6.77,0.99
instance-26d79726-8b13-4081-8fec-1a483a35aa21,4.09,3.36,3.62,0.14
instance-27c601d9-47a3-4c91-b994-46f9eff62109,18.34,3.36,15.92,0.72
instance-2b692012-f9f4-4ba3-8fd0-9af0efcc2c02,4.08,3.36,2.98,0.33
instance-2cf5aa00-07f4-4451-b7f0-d0c549710820,4.56,3.36,3.81,0.22
instance-41eca895-4bf2-4ad6-9479-27d314125286,4.37,3.36,3.19,0.35
instance-487ee647-4f54-4c06-b2ec-35877cc4e055,3.38,3.36,2.43,0.28
instance-4916897d-ff8d-408d-afe5-882e25d0d325,6.36,3.36,4.24,0.63
instance-4fbd0b39-4de6-4159-9b88-565d49301641,3.8,3.36,3.5,0.09
instance-6442310a-e5c0-446e-8343-f06cc17a17ca,0.86,3.36,0.74,0.04
instance-674f593e-2675-4e08-8717-830f7e2157d5,14.67,3.36,13.18,0.44
instance-742d128e-1609-422e-a120-a2aa78bf4c87,1.56,3.36,1.24,0.1
instance-7a2c1f0c-574c-49c3-ab5f-4c464603289a,8.16,3.36,6.44,0.51
instance-8aba181e-4426-4974-a1f0-1b91d80e9a73,10.76,3.36,5.58,1.54
instance-8e5636c7-82b7-4272-aead-aed737cdf5b1,0.42,3.36,0.35,0.02
instance-8e9f3e37-51ff-493c-a3a1-814b81afaff5,13.67,3.36,7.05,1.97
instance-966aa668-459b-4f7f-92bf-55c52ad8f63f,4.04,3.36,2.95,0.32
instance-a744b4bd-b40c-4a54-8842-5c2c8c149ed8,8.47,3.36,2.95,1.64
instance-a7e19870-b7dd-4431-bd3c-b76435eb37ec,8.68,3.36,6.42,0.67
instance-ac020b22-f984-4e51-b5f7-51c8ce6329af,8.7,3.36,6.97,0.51
instance-c67a3125-f398-4d39-afc1-8e53f351e313,48.82,3.36,24.98,7.1
instance-c8bb3258-3b1c-4b32-a0fe-d87621f4f47d,1.42,3.36,1.22,0.06
instance-cae7b8d1-9c55-47bc-b486-3995c6a8e2d0,2.65,3.36,2.44,0.06
instance-e3bd2771-cf54-4ba2-8faf-8da39cf63e12,2.5,3.36,1.99,0.15
instance-e9a9d666-2d59-4afb-949d-e6640b0f6c7b,3.69,3.36,2.53,0.35
instance-ecfdf01e-b7c2-4fc3-a3c6-9c80c8b0c640,1.7,3.36,1.32,0.11
instance-ee950c70-7bcb-404a-8440-14d760800436,20.54,3.36,12.47,2.4
instance-fe5c3143-8f86-415c-a184-0119b8c91c24,6.04,3.36,0.91,1.53
instance-00e13340-9aeb-4361-a5c5-69818d3fa2ec,17.52,3.35,16.58,0.28
instance-0d75560c-f1de-43b4-a26d-08f88129e98b,2.53,3.35,2.08,0.13
instance-0d94a841-2b28-4cf4-9ec3-b4128173dc01,26.46,3.35,11.33,4.52
instance-136456c9-7490-45af-8120-8d5e784792a1,30.84,3.35,14.08,5.01
instance-13fe296d-9d94-43ef-9918-51a6a681dbf9,8.11,3.35,7.01,0.33
instance-14dabf70-aaf0-4976-b478-8214a81aec14,2.17,3.35,1.92,0.07
instance-22d76f9b-99c6-4786-8d25-83cee68fe70c,3.95,3.35,3.66,0.09
instance-2c94ac70-a7aa-4298-9029-4e2975dc004e,18.6,3.35,8.76,2.94
instance-3038f95f-1489-44b1-975a-aa57e2f79b89,3.93,3.35,2.94,0.29
instance-343d68ab-a165-40ab-bff7-1002aa1fd2d1,3.27,3.35,2.48,0.24
instance-37444b15-6645-4046-98be-8981b4484ea3,3.79,3.35,2.95,0.25
instance-3aa912f9-8b32-4812-b4e9-f849afc717bd,5.24,3.35,3.9,0.4
instance-3c306537-5efd-4113-8634-754667284702,4.12,3.35,2.98,0.34
instance-46b53d0f-b5c6-486c-87f4-8bd414679b34,18.41,3.35,15.92,0.74
instance-5c02ac78-8949-4213-95f2-df5fc959ef2e,5.0,3.35,2.76,0.67
instance-5e5e21ec-6374-4499-87a7-149bc1941265,2.54,3.35,2.12,0.13
instance-68e66492-60ab-44d0-957d-526e85c8c38c,16.62,3.35,15.47,0.34
instance-6e32fdca-ed02-4284-a8f9-b6380b7b3e10,0.36,3.35,0.31,0.02
instance-7fdbffff-e8e2-459e-b3c9-e9ca436e8253,4.27,3.35,3.13,0.34
instance-801e0e80-4ffe-4965-ba36-ba7c16ef1940,10.21,3.35,6.88,0.99
instance-8f53b925-8a44-4006-8b78-d0328f3e3692,17.02,3.35,15.72,0.39
instance-a8351948-7ab3-446b-ad19-fddd0d5a67c7,9.11,3.35,3.94,1.54
instance-b6e040d9-94d9-4ccd-99e6-c182ec7dc548,1.48,3.35,1.37,0.03
instance-ba2bb127-eb8b-4155-b87a-901ffc19eed8,21.68,3.35,17.64,1.21
instance-c1040cea-cdfd-4bb0-becc-f2d65f2e9b72,76.35,3.35,73.99,0.7
instance-c14c4d9b-608d-49a1-aecd-f6833b5f0f53,6.92,3.35,5.22,0.51
instance-d103fded-9cf4-45ea-b707-21cac3a649ec,15.89,3.35,14.87,0.31
instance-d1321b54-7f32-4fc7-969d-34c4ceafa52f,1.77,3.35,1.44,0.1
instance-d701a068-8cfb-4ed3-916c-1473816eef01,7.7,3.35,4.84,0.85
instance-d7bdd0e0-102c-4b27-858c-c46966622ddb,2.26,3.35,2.07,0.06
instance-e8518ddf-8707-46c1-99e3-ce0f4bce7f84,10.0,3.35,8.92,0.32
instance-ebe83e27-003b-4137-9b9a-5a62762751ad,9.49,3.35,8.78,0.21
instance-efd09ff0-0286-42e2-bb5d-7dedf2c2e695,3.35,3.35,2.61,0.22
instance-fa8c6dd4-2b15-4860-a3dc-5244b227941a,14.6,3.35,13.53,0.32
instance-fd6c24d4-402e-41ac-ad81-6a0bee5387c6,10.0,3.35,9.45,0.16
