instance,recent_max,z_score,historical_mean,historical_std
instance-64e3c971-8c15-43af-8c04-c2825d21960d,9.06,56.07,1.02,0.14
instance-94fc08a1-d264-4a46-aeb0-2cde4e46142e,54.17,55.59,13.12,0.74
instance-399effd6-3f74-4f7c-84ef-2c698488d309,8.11,54.93,1.01,0.13
instance-b3d8e413-f1af-4459-bc1a-f59966c02cac,6.26,54.91,1.03,0.1
instance-b3792d4e-a677-4161-8f67-dd6bc9cd519e,2.43,54.04,0.28,0.04
instance-10dfa43e-1541-4821-a3eb-bfcebd5c6eb1,7.05,54.03,1.27,0.11
instance-c6c8e517-b28c-4699-bffb-fb984391af18,6.94,53.81,1.28,0.11
instance-0f573206-5d11-48be-8f76-929ca6e9551e,7.24,53.72,3.05,0.08
instance-8791535d-5832-4b6c-82f9-e3d65f0b2657,6.71,53.62,1.28,0.1
instance-64beb97a-cb83-491f-aeea-f70e43ff2d23,7.86,53.39,3.52,0.08
instance-fae7a40d-7734-4664-92ba-68aca9c43078,69.82,52.1,3.67,1.27
instance-20ec5f36-dd17-4399-a9b8-fb427fedab05,12.02,51.5,4.13,0.15
instance-6cb7c7bc-6876-4f65-80ec-af9c63b2341a,7.66,51.43,1.25,0.12
instance-1cc5f839-81f0-45d1-9fe9-cc98f52da381,14.5,51.05,2.88,0.23
instance-430392e7-e27c-4bc6-88a7-0743355d49f3,26.63,49.71,2.89,0.48
instance-f62b7128-1d22-40d2-af21-051bb24dc8b3,4.12,49.38,0.77,0.07
instance-24564aed-a3e7-4c60-b558-1290f1a7f580,5.72,49.25,1.39,0.09
instance-eaafe7d2-4e16-4b99-a7ea-944e3db12c7a,21.67,49.03,7.73,0.28
instance-44b4b2d7-a18c-4e3d-a386-c3b4924dc1d3,52.94,49.0,14.83,0.78
instance-f00c0d47-5fc9-4e19-9f8c-dccc7e6d336d,9.56,48.98,1.04,0.17
instance-a4e7ad93-8941-49bc-95a3-a6a24857b3fa,10.46,48.97,1.09,0.19
instance-9c2c0f95-e720-4d26-bbdd-e7944203045c,6.02,48.6,2.02,0.08
instance-51414cf5-2521-4e07-bbfa-490da1d8991d,10.16,48.59,1.07,0.19
instance-084b2882-b076-43b2-b5e3-6330b40595a2,43.25,48.19,17.87,0.53
instance-8e997494-2f6d-48e6-be75-4b79689c87f6,11.8,48.09,5.35,0.13
instance-05df32d6-8ab2-4cdf-be6b-e3f04ea7f44c,11.73,47.86,1.21,0.22
instance-a23ca401-bb1f-4063-9725-7c897eef130d,8.32,47.77,3.56,0.1
instance-7f03aa65-398a-44e3-9599-c90e062cb297,31.76,47.65,6.66,0.53
instance-aa70da9a-03b2-4afd-83cb-0850427fd8f9,33.65,47.62,4.23,0.62
instance-f9b7ff23-5320-4e6c-b889-508cd21846c4,8.78,47.51,2.39,0.13
instance-34a2f9cc-765c-480f-842a-f9f8477f0ef5,11.9,46.87,1.33,0.23
instance-46788161-1053-4409-ac81-7a9a4fba93de,8.73,46.78,3.0,0.12
instance-c36e2a7b-31cf-42e7-afa2-c55c7f316fb9,32.07,46.31,15.89,0.35
instance-4a09caca-f882-4a9d-a7c5-af37743ce5c8,8.87,46.2,3.63,0.11
instance-3cc875bc-3973-47a5-bfb0-d1eea175c0b6,19.32,45.96,5.25,0.31
instance-5cb9f32b-754a-44de-90cd-63a6b12a4e36,8.02,45.95,3.17,0.11
instance-e1e5c568-b1ee-4a17-8f0b-a7e360767a2f,32.56,45.53,6.85,0.56
instance-38c9aee0-9591-449a-9b68-ff2135d86e43,7.96,45.42,3.48,0.1
