instance,actual_cpu,pred_low,pred_mid,pred_high,action,risk,monthly_savings
instance-00770894-bb31-47bc-b5c8-d6e1a9512c53,4.69,3.2277672,4.502265,6.717152,downsize,safe,0.13704656715393096
instance-0077d728-5b4b-44f7-a2f9-b0470440c304,7.62,6.0734553,7.5125046,9.053353,downsize,safe,0.07847165832519538
instance-00793512-98cd-431d-a16d-4fe5cdf1075d,11.903333333333334,11.426489,12.218096,13.9308,downsize,moderate,0.0
instance-007b12f8-0a43-4d28-a134-8f9380847964,5.66,4.350755,5.212383,6.431022,downsize,safe,0.3267605607986451
instance-007bc17a-8d15-4b88-b67f-be8e709ce3bf,9.024999999999999,4.5476656,8.194849,11.415076,downsize,safe,0.6060102195739736
instance-00801d44-d775-4765-b9a0-e9798e375fcb,1.3333333333333333,1.0935912,2.020346,1.7810949,terminate,safe,0.0
instance-0080a8bc-1553-4c19-a9b1-2c7703f603f8,15.953333333333335,12.631122,15.349169,17.545254,downsize,risky,0.44104012578328566
instance-008123f0-0606-41ec-be4e-2a720a178bd2,12.058333333333332,10.544245,11.537149,14.172813,downsize,moderate,0.38046424992879124
instance-0082689d-9e53-4c49-85f5-fc21d74a87c6,3.7416666666666667,2.4059165,9.141788,25.97617,review,n/a,0.0
instance-0085a2f6-823b-46d7-940a-452bd54e9d7b,8.35,6.8640575,8.710413,10.796218,downsize,safe,0.0
instance-0087fe92-6cf6-41d0-8b68-eca47837b7c0,0.5599999999999999,0.24297342,1.6158414,1.7802703,terminate,safe,0.0
instance-008948eb-5b68-46d1-af2f-1619195bfa62,2.5625,2.449199,6.7920165,4.776691,terminate,risky,0.0
instance-00897c27-4d9c-4b6a-b981-e6850ce76579,30.015,29.405504,33.112793,41.22973,review,n/a,0.0
instance-0089fa03-89ad-4619-a5c2-1f46f5615484,5.418333333333334,4.931983,5.8145638,6.5478516,downsize,safe,0.0
instance-008a5f52-fad0-48d3-95c0-7937f53a3637,0.43333333333333335,0.29678982,1.6158414,0.7224306,terminate,safe,0.0
instance-008b38fd-acb3-4c68-ae45-250f05706b7c,10.033333333333333,9.597479,11.801426,13.686317,downsize,moderate,0.0
instance-008d554f-b7d1-4330-8482-6c2ead05a254,16.076666666666668,9.053886,16.002043,19.57297,downsize,risky,0.05447544428507584
instance-008f146b-8ebf-4d3a-af32-c96c05c710c9,1.275,2.0871174,5.725039,7.71937,downsize,safe,0.0
instance-008f3288-106c-48f0-bed5-10902bdf8f30,5.615000000000001,3.8549395,4.0053244,5.295415,downsize,safe,1.1750632144927986
instance-0090f98c-327b-44e5-a4ca-0efd505c01b2,6.201666666666667,6.2558618,7.554483,10.213874,downsize,safe,0.0
instance-009191f1-a514-4996-9783-761546929f1d,1.6533333333333333,1.55734,2.2173932,1.8534306,terminate,safe,0.0
instance-0093b1bf-fe9f-407e-aafa-27b8a02aefd1,10.803333333333333,10.705426,11.170258,13.709004,downsize,moderate,0.0
instance-0093dcae-c938-4300-ba27-552151c052c9,6.756666666666665,5.269568,7.3502555,9.722118,downsize,safe,0.0
instance-0094389b-b749-4812-aca0-2067f94b99f7,4.82,2.8542676,5.6975875,7.480118,downsize,safe,0.0
instance-0097454b-d650-403b-85d8-768cb48ece66,3.865,3.5924342,3.6821651,4.0642285,terminate,risky,0.13346944351196305
instance-00989038-84ef-4dfe-8367-49ba2ebd08bb,10.646666666666667,4.2816386,9.611051,13.965878,downsize,moderate,0.7559997244517007
instance-0098a008-9e87-492b-9eca-98f3d1cd6fe7,8.453333333333333,4.1732483,8.487913,10.488527,downsize,safe,0.0
