instance,cpu_mean,cpu_median,cpu_p5,cpu_p95,cpu_min,cpu_max,cpu_n,mem_mean,mem_median,mem_p5,mem_p95,mem_min,mem_max,mem_n
instance-001b9669-bb87-4706-81a0-7489e854e9b9,3.1536,1.7177,1.6834,6.0598,1.6834,6.0598,6,69.8604,69.8659,68.3758,71.3393,68.3758,71.3393,6
instance-001c45d7-80da-409f-a6d2-9490309b1eb0,10.5079,8.822,3.2384,17.2022,3.2384,17.2022,29,96.9423,99.6569,67.7406,99.6569,67.7406,99.6569,29
instance-001cab88-7794-4c5c-9dde-63fbdcff6aa1,8.587,8.5564,5.4624,9.9907,5.4624,9.9907,37,99.5911,99.5994,99.5302,99.6086,99.5302,99.6086,37
instance-001d712e-d8da-4311-b71c-07992afe8fb2,2.9149,2.6964,2.1496,3.7737,2.1108,9.8278,86,99.9965,100.0,99.9722,100.0,99.971,100.0,86
instance-00208906-41aa-4d74-ae8a-a6692274942a,15.2658,15.733,13.866,16.2422,4.4567,16.2607,55,99.0283,99.8037,96.1359,99.8037,82.4552,99.8037,55
instance-0020a823-b6e8-46a6-8b4d-cf5e51f58fcf,4.9125,5.3092,2.4597,5.671,2.4597,5.671,35,98.241,99.5808,75.8573,99.6965,75.8573,99.6965,35
instance-00211c28-2edb-4c46-9d60-8490e2dc6279,14.5844,16.5767,3.2749,17.3143,3.2749,17.3143,15,92.0762,96.4859,71.1473,97.1133,71.1473,97.1133,15
instance-00212957-5dab-4ad6-925c-590bf8f9db79,16.9909,15.8293,15.2942,17.6935,2.9289,52.9147,57,97.5429,99.8691,83.6559,99.8691,51.8977,99.8691,57
instance-0022134b-91cf-49a0-bafb-95a8bbc3df85,60.5925,60.5925,59.0367,62.1483,59.0367,62.1483,4,96.3276,96.3276,92.6553,100.0,92.6553,100.0,4
instance-002281d5-ce93-4bc6-8a3c-351d19f2879c,3.5251,3.4829,3.0394,3.739,3.0194,8.0555,63,99.9675,99.9756,99.9339,99.9756,99.9061,99.9756,63
instance-0022e85a-1b2d-43d6-8dd4-21de148c1674,6.9449,6.9449,6.9449,6.9449,6.9449,6.9449,2,63.2144,63.2144,63.2144,63.2144,63.2144,63.2144,2
instance-002451bb-d495-4ca9-bef9-b3542b6cf307,0.6471,0.6471,0.6471,0.6471,0.6471,0.6471,2,19.0806,19.0806,19.0806,19.0806,19.0806,19.0806,2
instance-00247a6a-4922-4b94-95d4-d444dd66a9b4,13.4766,11.9423,9.5606,19.5884,9.5606,19.5884,24,93.3001,98.7149,74.4611,98.8633,74.4611,98.8633,24
instance-002489ef-8600-42a6-a880-d2138cb27a7e,1.5577,1.5577,1.5577,1.5577,1.5577,1.5577,1,84.555,84.555,84.555,84.555,84.555,84.555,1
instance-0025868f-1036-4470-865b-c23e2c0d04e9,4.7881,4.7881,4.7881,4.7881,4.7881,4.7881,2,39.8096,39.8096,39.8096,39.8096,39.8096,39.8096,2
instance-002586f7-d840-47d3-8fe1-4cdd175dc7f3,4.0501,3.9014,3.787,4.9336,3.7779,6.5673,64,96.8943,96.9361,96.6298,96.9833,96.5216,96.9833,64
instance-0025b894-efa5-43b9-a51f-55fdb103fbd9,1.0963,0.8613,0.7725,2.824,0.7706,3.006,62,99.992,100.0,99.9583,100.0,99.9444,100.0,62
instance-0026e244-a0e0-400d-a279-1f1ad26fc2ad,15.6869,3.0482,2.129,46.9107,2.129,46.9107,37,99.0283,99.8437,84.7631,99.8543,84.7631,99.8543,37
instance-0027252a-4a1b-4450-a5ca-96e3e8aaf134,1.0545,1.0545,1.0545,1.0545,1.0545,1.0545,2,18.8526,18.8526,18.8526,18.8526,18.8526,18.8526,2
instance-00276538-d6c3-4e5e-8ac3-b8f0484b66b9,3.9148,1.6014,1.6014,8.5416,1.6014,8.5416,3,84.4569,85.5366,82.2974,85.5366,82.2974,85.5366,3
instance-0027c3e9-7e71-426e-ba04-aa80ef3e4dad,3.0294,3.0141,0.6396,4.3607,0.3951,5.1433,56,95.9096,97.0733,90.3729,99.2589,59.1514,99.272,56
instance-0027f0e0-7f79-4d73-809b-0fab2fc7784e,4.0499,3.9249,3.858,4.6889,3.831,4.7335,64,97.7471,97.8349,96.8909,97.8396,96.1069,97.8406,64
instance-002835a2-2563-473c-9bc5-a5a70b80c00d,2.2947,2.2948,2.1703,2.466,2.1213,2.4673,60,60.8352,64.0096,56.0874,64.0198,54.5903,64.0198,60
instance-0028576e-7251-4c8b-8f89-ad904911f08b,6.9144,6.5917,2.1297,12.073,1.3645,12.1128,49,99.6319,99.6371,99.5804,99.6556,99.5575,99.6559,49
instance-002965f6-30d5-463d-9b3a-6751c806dded,0.1031,0.1031,0.1031,0.1031,0.1031,0.1031,2,2.6035,2.6035,2.6035,2.6035,2.6035,2.6035,2
instance-0029dd94-8eb5-4d9c-93fa-ed71527b2dda,15.24,16.4889,11.078,17.3277,11.078,17.3277,7,99.8691,99.8691,99.8691,99.8691,99.8691,99.8691,7
instance-002a7541-1c38-4cd6-b6f2-957f7cdfd8b2,8.6173,8.6173,8.6173,8.6173,8.6173,8.6173,1,68.8876,68.8876,68.8876,68.8876,68.8876,68.8876,1
instance-002ac124-3dce-495b-a30f-c24aa389f910,4.956,4.956,4.956,4.956,4.956,4.956,2,33.593,33.593,33.593,33.593,33.593,33.593,2
instance-002ae43b-760e-46b0-b5dd-bfebf78e0292,15.2646,15.2646,15.2646,15.2646,15.2646,15.2646,2,59.3109,59.3109,59.3109,59.3109,59.3109,59.3109,2
instance-002b2147-973f-4fc2-be78-b0507caa81c6,12.6496,12.7445,11.6122,13.5386,11.6122,13.5386,17,99.3992,99.6118,97.8023,99.6139,97.8023,99.6139,17
instance-002b3de5-7db2-4752-9b52-c47386c88ee5,3.9397,3.8603,3.1359,4.9024,3.1359,4.9024,8,99.1418,100.0,96.5671,100.0,96.5671,100.0,8
instance-002ca137-b4de-4bf7-acdb-0b1bef5f9c21,3.0016,3.0016,1.7854,4.2178,1.7854,4.2178,4,71.3783,71.3783,71.2713,71.4853,71.2713,71.4853,4
instance-002d2360-4adf-4bb1-938d-c421425921d8,2.7038,2.7038,2.7038,2.7038,2.7038,2.7038,2,84.4565,84.4565,84.4565,84.4565,84.4565,84.4565,2
instance-002d7be3-8258-42c9-9b6b-2803ed9f08b2,9.9307,9.9307,9.9307,9.9307,9.9307,9.9307,2,62.455,62.455,62.455,62.455,62.455,62.455,2
