instance,actual_cpu,pred_low,pred_mid,pred_high,action,monthly_savings
instance-00793512-98cd-431d-a16d-4fe5cdf1075d,11.903333333333334,9.360605421553792,12.319293214995103,12.866643129069757,downsize,0.0
instance-007b12f8-0a43-4d28-a134-8f9380847964,5.66,4.355347037720149,5.3556643645203845,5.994099201297591,downsize,0.22216501390011942
instance-007bc17a-8d15-4b88-b67f-be8e709ce3bf,9.024999999999999,6.088763925020669,8.583439743630667,11.864228483245403,downsize,0.3223389871496123
instance-00801d44-d775-4765-b9a0-e9798e375fcb,1.3333333333333333,1.0342319658283794,1.2273409441622105,1.4430143246639024,terminate,0.0773744440949196
instance-0080a8bc-1553-4c19-a9b1-2c7703f603f8,15.953333333333335,9.625870037201581,16.51044449527088,16.986685849344013,downsize,0.0
instance-008123f0-0606-41ec-be4e-2a720a178bd2,12.058333333333332,8.97219591214237,11.828519483589718,12.925006548481328,downsize,0.16776411031283836
instance-0082689d-9e53-4c49-85f5-fc21d74a87c6,3.7416666666666667,2.7904738776419915,6.898589510345192,13.270787357244416,downsize,0.0
instance-0085a2f6-823b-46d7-940a-452bd54e9d7b,8.35,7.212899444600076,8.769674344755654,9.638232573637348,downsize,0.0
instance-0087fe92-6cf6-41d0-8b68-eca47837b7c0,0.5599999999999999,0.3272539433920165,0.6022417583455443,2.273770668248761,terminate,0.0
instance-008948eb-5b68-46d1-af2f-1619195bfa62,2.5625,2.0252957169492496,2.5647135975377635,7.395452546276956,downsize,0.0
instance-00897c27-4d9c-4b6a-b981-e6850ce76579,30.015,29.350659373702957,30.82593627029652,35.28341246005721,review,0.0
instance-0089fa03-89ad-4619-a5c2-1f46f5615484,5.418333333333334,4.916061260694704,5.433943119318461,5.777904971938293,downsize,0.0
instance-008a5f52-fad0-48d3-95c0-7937f53a3637,0.43333333333333335,0.4107144802329583,0.42548440064909965,0.44928265439487636,terminate,0.005729720859490602
instance-008b38fd-acb3-4c68-ae45-250f05706b7c,10.033333333333333,8.735253114072586,11.92676456262441,12.781624147558757,downsize,0.0
instance-008d554f-b7d1-4330-8482-6c2ead05a254,16.076666666666668,9.478545151423607,16.636809056558022,18.085598716331692,downsize,0.0
instance-008f146b-8ebf-4d3a-af32-c96c05c710c9,1.275,2.496074927581586,4.3268646725799496,6.009601922524913,downsize,0.0
instance-008f3288-106c-48f0-bed5-10902bdf8f30,5.615000000000001,3.8393120660608635,4.738132012307711,5.639869105132794,downsize,0.6401136310153721
instance-0090f98c-327b-44e5-a4ca-0efd505c01b2,6.201666666666667,5.623888216997176,6.651001462668487,8.929781143648295,downsize,0.0
instance-009191f1-a514-4996-9783-761546929f1d,1.6533333333333333,1.6003387027010438,1.6481751647823775,1.7640206613049771,terminate,0.003765463042197774
instance-0093b1bf-fe9f-407e-aafa-27b8a02aefd1,10.803333333333333,9.152972960525144,10.769520186691462,11.864135723213428,downsize,0.02468359704856548
instance-0093dcae-c938-4300-ba27-552151c052c9,6.756666666666665,4.718133454660969,7.025521869927997,8.456191171401018,downsize,0.0
instance-0094389b-b749-4812-aca0-2067f94b99f7,4.82,3.7703423148646302,6.039402754347706,7.027814740392249,downsize,0.0
instance-0097454b-d650-403b-85d8-768cb48ece66,3.865,3.702161480730535,3.7767232759813267,3.9423684731337865,terminate,0.06444200853363165
instance-00989038-84ef-4dfe-8367-49ba2ebd08bb,10.646666666666667,5.778804827839461,9.92240236019991,13.952115357869923,downsize,0.5287129437207317
instance-0098a008-9e87-492b-9eca-98f3d1cd6fe7,8.453333333333333,4.952028588366794,8.58291068698155,10.013170525126053,downsize,0.0
instance-009b9141-6438-46c7-8f3e-d79f8411e972,2.7166666666666663,1.9758383860720274,4.730346485812306,6.98929310556151,downsize,0.0
instance-009c72c4-863b-4cc7-b011-823d573816e6,2.535,2.1364893103385247,2.4843832860938972,2.6180685819486063,terminate,0.036950201151455114
instance-009e7c7b-1e8b-4c91-8981-70fe61e43e74,1.4783333333333335,1.6951760738787631,1.977060116714703,2.5097257399669957,terminate,0.0
instance-00a1546a-2800-4c33-94e9-aef48b83e6e7,9.07,7.641428768542792,9.838523056897381,16.0141633261244,downsize,0.0
instance-00a1bc7e-122f-41f1-82df-842a5696c1ba,20.253333333333334,11.756174716449017,19.961162185665334,24.513410038428674,review,0.21328493779764018
instance-00a2b6a0-bd4d-479d-a58b-f80f2a7bc1f4,0.5533333333333333,0.5020290552480763,0.5309074700332603,0.555674618080085,terminate,0.0163708802090533
instance-00a2e268-cab7-47f6-ab69-b200befb3ea7,2.32,2.223460278021415,2.3154905067391303,2.5113315370655362,terminate,0.003291930080434793
instance-00a3f037-f3f3-47f0-a831-044b04acfb3c,9.278333333333334,5.082343974761308,8.648990009032183,9.928863076151671,downsize,0.45942062673984074
instance-00a54d4d-85c0-4196-addc-724bc1e12643,15.225,9.854542240010751,16.462173513253592,17.508036835607648,downsize,0.0
